plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
51,24854,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
51,24855,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
51,24856,connected,,,compute-001,be2-port0,server,be-rail-leaf-02,E1/1/1,leaf
51,24857,connected,,,compute-001,be3-port0,server,be-rail-leaf-02,E1/1/2,leaf
51,24858,connected,,,compute-001,be4-port0,server,be-rail-leaf-03,E1/1/1,leaf
51,24859,connected,,,compute-001,be5-port0,server,be-rail-leaf-03,E1/1/2,leaf
51,24860,connected,,,compute-001,be6-port0,server,be-rail-leaf-04,E1/1/1,leaf
51,24861,connected,,,compute-001,be7-port0,server,be-rail-leaf-04,E1/1/2,leaf
51,24862,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
51,24863,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
51,24864,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
51,24865,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/2/2,leaf
51,24866,connected,,,compute-002,be2-port0,server,be-rail-leaf-02,E1/2/1,leaf
51,24867,connected,,,compute-002,be3-port0,server,be-rail-leaf-02,E1/2/2,leaf
51,24868,connected,,,compute-002,be4-port0,server,be-rail-leaf-03,E1/2/1,leaf
51,24869,connected,,,compute-002,be5-port0,server,be-rail-leaf-03,E1/2/2,leaf
51,24870,connected,,,compute-002,be6-port0,server,be-rail-leaf-04,E1/2/1,leaf
51,24871,connected,,,compute-002,be7-port0,server,be-rail-leaf-04,E1/2/2,leaf
51,24872,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
51,24873,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
51,24874,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
51,24875,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
51,24876,connected,,,compute-003,be2-port0,server,be-rail-leaf-02,E1/3/1,leaf
51,24877,connected,,,compute-003,be3-port0,server,be-rail-leaf-02,E1/3/2,leaf
51,24878,connected,,,compute-003,be4-port0,server,be-rail-leaf-03,E1/3/1,leaf
51,24879,connected,,,compute-003,be5-port0,server,be-rail-leaf-03,E1/3/2,leaf
51,24880,connected,,,compute-003,be6-port0,server,be-rail-leaf-04,E1/3/1,leaf
51,24881,connected,,,compute-003,be7-port0,server,be-rail-leaf-04,E1/3/2,leaf
51,24882,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
51,24883,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
51,24884,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
51,24885,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/4/2,leaf
51,24886,connected,,,compute-004,be2-port0,server,be-rail-leaf-02,E1/4/1,leaf
51,24887,connected,,,compute-004,be3-port0,server,be-rail-leaf-02,E1/4/2,leaf
51,24888,connected,,,compute-004,be4-port0,server,be-rail-leaf-03,E1/4/1,leaf
51,24889,connected,,,compute-004,be5-port0,server,be-rail-leaf-03,E1/4/2,leaf
51,24890,connected,,,compute-004,be6-port0,server,be-rail-leaf-04,E1/4/1,leaf
51,24891,connected,,,compute-004,be7-port0,server,be-rail-leaf-04,E1/4/2,leaf
51,24892,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
51,24893,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
51,24894,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
51,24895,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
51,24896,connected,,,compute-005,be2-port0,server,be-rail-leaf-02,E1/5/1,leaf
51,24897,connected,,,compute-005,be3-port0,server,be-rail-leaf-02,E1/5/2,leaf
51,24898,connected,,,compute-005,be4-port0,server,be-rail-leaf-03,E1/5/1,leaf
51,24899,connected,,,compute-005,be5-port0,server,be-rail-leaf-03,E1/5/2,leaf
51,24900,connected,,,compute-005,be6-port0,server,be-rail-leaf-04,E1/5/1,leaf
51,24901,connected,,,compute-005,be7-port0,server,be-rail-leaf-04,E1/5/2,leaf
51,24902,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
51,24903,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
51,24904,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/6/1,leaf
51,24905,connected,,,compute-006,be1-port0,server,be-rail-leaf-01,E1/6/2,leaf
51,24906,connected,,,compute-006,be2-port0,server,be-rail-leaf-02,E1/6/1,leaf
51,24907,connected,,,compute-006,be3-port0,server,be-rail-leaf-02,E1/6/2,leaf
